Sequence Number,Channel1,Channel2,Channel3
21600,32472,32812,32648
21650,33112,32748,31692
21700,33120,32417,33716
21750,33664,32633,32784
21800,33992,32620,31584
21850,35132,32633,32876
21900,32688,33090,32581
21950,32300,32796,32452
22000,32288,33208,33218
22050,32724,32632,32661
22100,32532,32782,31773
22150,32584,32647,32952
22200,32772,32802,32156
22250,36224,32702,32996
22300,32718,33048,33084
22350,32920,32203,31765
22400,32528,32097,32832
22450,31260,33700,33080
22500,29868,33145,32469
22550,35360,32751,32720
22600,32308,32666,33154
22650,33892,32956,33566
22700,32132,32159,31550
22750,32900,32924,32826
22800,33264,32399,32706
22850,37668,32610,33078
22900,33160,33200,32855
22950,33392,32512,33528
23000,30105,32448,33668
23050,34958,32704,33414
23100,31800,32833,32908
23150,31856,32838,31586
23200,37620,33606,32060
23250,37892,33372,32864
23300,30992,31996,34660
23350,48172,33240,31721
23400,33116,31761,32048
23450,24308,31196,36484
23500,34512,33690,34152
23550,42184,32804,29376
23600,19168,32900,31424
23650,39892,32140,35458
23700,26276,32472,31904
23750,49640,31832,32236
23800,33828,32400,34120
23850,8684,32896,36948
23900,26048,33500,35416
23950,55560,33056,35508
24000,34528,32138,34064
24050,23502,33112,31580
24100,16480,32416,31856
24150,37844,30689,35088
24200,15484,30448,35504
24250,46760,32748,30296
24300,20536,32728,38416
24350,25632,33652,36300
24400,38508,32484,37828
24450,18212,33359,33777
24500,28160,33308,33584
24550,13820,31476,29016
24600,31872,32526,32621
24650,35472,32560,32321
24700,23872,32234,31444
24750,20980,32858,35180
24800,46748,32080,31296
24850,40932,32670,35345
24900,42308,32108,34500
24950,11971,32432,27460
25000,21852,30432,32736
25050,24256,32312,33392
25100,1087,32240,31728
25150,47988,33388,33304
25200,59224,32956,32826
25250,50328,31232,24477
25300,29028,32965,35304
25350,33504,32110,33312
25400,26296,33448,35952
25450,24604,32268,34404
25500,32310,34588,31238
25550,33408,32808,32909
25600,35924,32932,33282
25650,37880,34332,33568
25700,44276,32680,32876
25750,36832,33164,33497
25800,30682,32112,31357
25850,30996,32920,34295
25900,24380,33436,35132
25950,35000,32412,31556
26000,36830,33205,31224
26050,32989,31860,34544
26100,30444,32876,33448
26150,43900,31977,33648
26200,33936,31997,31964
26250,30880,33182,33632
26300,28473,32868,33212
26350,32396,32807,32519
26400,34932,33524,32720
26450,32748,32345,32506
26500,32456,32854,32519
26550,32668,33390,32860
26600,33185,32772,32120
26650,32832,32870,33012
26700,33040,32652,31736
26750,32728,33038,32607
26800,32836,33050,32672
26850,32636,32704,33366
26900,32704,32898,32726
26950,32741,32748,32748
27000,32716,32500,32660
27050,32952,32634,31880
27100,32596,32735,32985
27150,32824,32856,33261
27200,33081,32549,32006
27250,32832,33036,32796
27300,32604,32865,33204
27350,32748,32873,32798
27400,32804,32488,33188
27450,32708,32864,32927
27500,32660,32522,32788
27550,32736,32855,32751
27600,32564,32874,33130
27650,32641,32884,33034
27700,32626,33396,32752
27750,32824,32900,32448
27800,32660,32908,32417
27850,32576,32940,32892
27900,32480,32654,33053
27950,32934,32926,33128
28000,32892,32952,32887
28050,32736,32572,32999
28100,32686,32823,32918
28150,32832,32821,32784
28200,32792,33327,33116
28250,32688,32756,32704
28300,32856,32908,32908
28350,32572,32647,33148
28400,32852,32542,33193
28450,32924,32584,33220
28500,33212,32623,32784
28550,32805,32752,33284
28600,32936,32886,32953
28650,32652,32750,32789
28700,32636,32870,33220
28750,32844,33300,33028
28800,32680,32676,32887
28850,31756,32393,33048
28900,32868,32281,32768
28950,32840,32237,32644
29000,31252,33014,32588
29050,33233,32324,33488
29100,32578,32869,32248
29150,32980,32576,33892
29200,32984,32817,31919
29250,32628,33976,32993
29300,31360,32112,32288
29350,32684,33001,32964
29400,33068,32868,32282
29450,33716,32588,32444
29500,32970,32837,33253
29550,32696,32356,33020
29600,32648,32964,32832
29650,32136,32887,33424
29700,30860,32892,33696
29750,31968,32698,33152
29800,32769,32938,32748
29850,31314,32936,33542
29900,32236,32519,33052
29950,31952,32752,32572
30000,32712,32960,33173
30050,32612,32181,31788
30100,34448,32838,33156
30150,30708,32268,32651
30200,32732,32040,32962
30250,32070,32838,32816
30300,30260,32044,33964
30350,34144,32216,33780
30400,37252,33273,32716
30450,34976,32676,31628
30500,29672,34104,33065
30550,43268,32592,34424
30600,19865,31630,32560
30650,34028,33100,31216
30700,31876,32948,31791
30750,21349,31077,32832
30800,37116,33309,31332
30850,52784,32156,28516
30900,31064,33200,33536
30950,28316,32480,29620
31000,28232,33508,34514
31050,36064,32480,36992
31100,11004,32644,34474
31150,47808,30868,33636
31200,42956,31644,30778
31250,44924,31678,30808
31300,25660,32817,34376
31350,29692,33976,31604
31400,13554,32400,34540
31450,14112,33040,34720
31500,57072,31968,33664
31550,45720,34924,33248
31600,12784,32920,32828
31650,33360,32996,33520
31700,31132,30532,34848
31750,37412,32972,25892
31800,32668,30800,36792
31850,21405,31142,31280
31900,21220,32484,23648
31950,21008,33368,32496
32000,52304,30168,37492
32050,28594,33256,30871
32100,27180,31518,31720
32150,53944,32800,32472
32200,51856,32930,32540
32250,22780,30048,33880
32300,32236,33600,30240
32350,26412,34072,35632
32400,28332,31896,32468
32450,26956,34260,30356
32500,35584,32540,35348
32550,25420,32784,34264
32600,20588,33436,35044
32650,45368,33800,30808
32700,26414,34132,33896
32750,29545,34356,34156
32800,25120,32834,33525
32850,26632,32252,32678
32900,25262,33684,33592
32950,44124,32746,31718
33000,45393,33172,32148
33050,32344,32580,32228
33100,42792,34229,31438
33150,37536,31105,31674
33200,30548,32908,33984
33250,25536,31408,34138
33300,26016,33080,31968
33350,32828,33000,33024
33400,40588,32940,33940
33450,32668,32774,32688
33500,32492,33166,32482
33550,32736,32700,32796
33600,33269,32364,31652
33650,33372,32618,32540
33700,32784,32846,32540
33750,32656,33401,33840
33800,33040,32562,33396
33850,32816,33212,32942
33900,32824,32836,32428
33950,32740,32742,32308
34000,32808,32574,33013
34050,32852,32565,33188
34100,32820,33688,33728
34150,32840,32549,33152
34200,32972,32553,33140
34250,32144,32981,32269
34300,32932,32774,32714
34350,33218,32864,32950
34400,32280,32314,32364
34450,32908,32512,32664
34500,32536,32682,32704
34550,33160,32786,33100
34600,32816,32553,32832
34650,33880,32364,32492
34700,33304,32816,32900
34750,32904,32444,32690
34800,32512,33032,32276
34850,32364,32468,32678
34900,33757,32729,32292
34950,32656,33500,34528
35000,32732,32783,31304
35050,32052,32646,34034
35100,32726,33259,32988
35150,33072,32700,32516
35200,32172,32647,32904
35250,33260,32121,32744
35300,32109,33296,33500
35350,32780,33046,32454
35400,32776,32918,32484
35450,33384,32466,32732
35500,32300,32668,33172
35550,33640,32458,33068
35600,33368,33208,32772
35650,33728,32832,32282
35700,32680,32726,32958
35750,32669,32924,32152
35800,32368,32432,32772
35850,34244,32924,32756
35900,33204,32332,33136
35950,31422,32630,33324
36000,31092,33327,31632
36050,32100,32308,32868
36100,32824,32935,33918
36150,32540,32857,32252
36200,27512,32518,33496
36250,30124,32796,33068
36300,30344,33552,32936
36350,24677,33072,34256
36400,25452,32424,32900
36450,45584,32448,30556
36500,25020,32768,32185
36550,22476,32606,30268
36600,25904,33048,31264
36650,27492,33244,30588
36700,36172,32556,31108
36750,25412,32862,31218
36800,37108,33805,32887
36850,24436,32025,32112
36900,38368,33338,34940
36950,29718,32948,32652
37000,31488,33197,31458
37050,42304,31716,36416
37100,30848,32728,33248
37150,17168,33756,31204
37200,41916,32096,31808
37250,35452,34196,32072
37300,43840,32940,33700
37350,8964,33548,32406
37400,56320,30392,36196
37450,33142,32228,30852
37500,18404,33456,31212
37550,56430,32492,36440
37600,36388,32420,33672
37650,32564,31460,32728
37700,58420,31524,31652
37750,23888,31708,29297
37800,20080,32996,34924
37850,53608,31524,34268
37900,48390,32437,34116
37950,29346,36152,31508
38000,40228,32492,34880
38050,18524,32636,31054
38100,48792,32512,32952
38150,23642,35100,32220
38200,33604,34145,31852
38250,21916,32320,34032
38300,28272,31116,33248
38350,34104,32104,32052
38400,30372,32436,32212
38450,21204,31066,34088
38500,37912,33652,33812
38550,36356,33062,33799
38600,31190,33368,33504
38650,29740,32889,32692
38700,24612,33313,33616
38750,25084,32392,33864
38800,40832,33952,33344
38850,27276,32544,32756
38900,28732,33012,31168
38950,29174,31248,29190
39000,26221,32984,31949
39050,30800,32844,32680
39100,38756,31349,32644
39150,32956,30452,33392
39200,42496,33092,33884
39250,31264,32656,32000
39300,32330,33340,36348
39350,36028,33280,32376
39400,32848,33354,32409
39450,29748,33968,32468
39500,33212,33174,32668
39550,32180,32312,32680
39600,30368,33420,32964
39650,32784,32847,33873
39700,31416,32560,31871
39750,32924,32534,32812
39800,33692,33092,32949
39850,31288,32706,32124
39900,32660,33670,32508
39950,34034,32206,33085
40000,32788,32513,32991
40050,33422,32668,32868
40100,32796,32872,32983
40150,32652,32724,32764
40200,32780,32388,33185
40250,32741,32849,33020
40300,32824,32949,32528
40350,33200,32314,33287
40400,32808,32519,32962
40450,32837,32720,32858
40500,33136,32868,32936
40550,32604,33124,32314
40600,32932,32444,32573
40650,33872,33132,33436
40700,32802,32620,32968
40750,33872,33525,33312
40800,31824,32400,33384
40850,32528,33127,32560
40900,34060,32800,32408
40950,32698,32254,32672
41000,30876,32664,33910
41050,33408,32766,32917
41100,32692,32206,33124
41150,32464,32665,32212
41200,32040,32840,33060
41250,32873,32615,32772
41300,34608,32039,32870
41350,33400,32884,32942
41400,32332,32578,32921
41450,31802,32333,32921
41500,33544,32832,32520
41550,32844,33002,32812
41600,32468,32813,33188
41650,31836,32452,33294
41700,33085,31857,33056
41750,33012,32442,33290
41800,31520,32720,33031
41850,32832,32852,32488
41900,33376,32860,32652
41950,32052,32800,32446
42000,33040,33060,32784
42050,32552,33132,33066
42100,31744,32360,32148
42150,32904,32744,33064
42200,34584,32798,33512
42250,33860,32800,31673
42300,32732,33388,33156
42350,33036,32852,33026
42400,33232,32775,32498
42450,32840,32983,32825
42500,32456,32800,32028
42550,32756,33212,32816
42600,34520,32920,33452
42650,31812,32312,33104
42700,32264,32034,32629
42750,35384,32981,32944
42800,31340,33776,33480
42850,28700,33588,32328
42900,30970,33516,31936
42950,44148,32724,33248
43000,35440,33680,30629
43050,34580,30828,31648
43100,20605,32360,35636
43150,43432,32546,31368
43200,23548,31756,33816
43250,16960,33784,34273
43300,31560,34112,31392
43350,56880,32140,35820
43400,25212,31712,34952
43450,28220,33464,33360
43500,34936,33700,31230
43550,26788,32696,31104
43600,57440,32757,34316
43650,10608,33244,29928
43700,62720,33154,32692
43750,55076,31736,32120
43800,17037,32656,31737
43850,28324,33096,31624
43900,30842,32430,35216
43950,42544,32228,32512
44000,23774,33192,37520
44050,27005,33528,29864
44100,29688,33100,36436
44150,25456,32904,32612
44200,14113,33184,34108
44250,60260,34676,27304
44300,26108,32492,32776
44350,36800,33036,32739
44400,60284,31568,33968
44450,50716,34056,33404
44500,15882,32924,31808
44550,20008,33068,37096
44600,43360,31268,26645
44650,41568,32832,32866
44700,29616,32424,32696
44750,31636,32820,30264
44800,21488,33492,32276
