Sequence Number,Channel1,Channel2,Channel3
20700,33602,33024,33748
20750,34576,32736,32924
20800,28992,32672,34056
20850,25092,33652,32532
20900,43468,33424,31656
20950,36785,32588,31924
21000,30218,32592,32452
21050,31148,33028,32876
21100,31060,32744,32404
21150,34618,32929,32286
21200,25974,32728,33700
21250,34197,32440,32672
21300,35340,32381,32709
21350,30734,32328,32036
21400,33592,33388,32812
21450,32908,32656,32564
21500,33424,32364,34080
21550,32960,32422,33064
21600,33760,32446,32866
21650,32364,32775,32774
21700,33904,32584,32824
21750,32532,32552,32846
21800,35588,32452,32783
21850,35364,32621,32936
21900,31340,33648,32663
21950,35728,35276,32664
22000,32824,32056,32998
22050,32980,32551,32876
22100,34960,32562,32806
22150,32548,32784,32663
22200,33305,32468,32716
22250,32336,32660,32824
22300,32804,32088,32768
22350,32920,32684,32936
22400,32540,32001,32876
22450,32952,32702,32832
22500,33464,32415,32628
22550,32800,32629,32964
22600,33048,32856,32733
22650,32924,32996,32724
22700,31196,32854,32788
22750,33220,32464,32884
22800,33728,32398,32748
22850,32973,32812,32732
22900,33360,32127,32444
22950,29016,34284,32084
23000,34616,32700,32981
23050,31708,31740,32968
23100,31648,32804,33278
23150,29180,32844,32512
23200,29416,32604,32712
23250,30692,32592,34024
23300,16784,33320,32948
23350,32332,32365,33578
23400,33984,32846,32802
23450,27201,33892,32772
23500,34928,32180,33146
23550,38536,33068,32852
23600,35616,31994,33180
23650,31348,32670,32744
23700,37104,32842,32004
23750,32950,32695,32551
23800,32796,33086,32725
23850,32128,31813,32990
23900,33424,33060,32606
23950,34020,31957,32866
24000,32920,32872,33028
24050,30680,32912,32606
24100,33212,33319,32512
24150,33164,34120,32488
24200,34512,32129,32628
24250,33476,32255,32974
24300,30368,32646,32552
24350,33920,32828,33072
24400,29840,32876,32378
24450,28260,32853,33340
24500,33177,32452,32880
24550,33272,32705,32634
24600,33052,32700,32865
24650,32904,32508,32788
24700,33052,32679,32826
24750,32900,32276,32576
24800,32465,32967,32848
24850,32220,32598,32848
24900,32812,33214,32973
24950,32726,32672,32832
25000,32764,32495,32668
25050,32832,33008,32980
25100,32648,32484,32964
25150,32872,32792,32580
25200,32440,33145,32652
25250,31770,33148,32757
25300,32808,32678,32876
25350,32366,32724,32861
25400,32184,32288,32916
25450,33418,32788,32924
25500,32974,32461,32912
25550,32765,32748,32799
25600,32232,32640,32837
25650,33404,32669,32724
25700,32852,32833,32756
25750,32780,32773,32655
25800,32868,32716,32956
25850,30824,32749,32696
25900,32841,32858,32911
25950,32740,32838,32774
26000,32752,33470,32758
26050,32704,32814,32924
26100,32808,32862,32764
26150,33936,32708,32593
26200,32826,33153,32820
26250,29232,32592,32972
26300,32816,32921,32896
26350,32772,32918,32804
26400,32808,32610,32820
26450,31896,32732,32956
26500,32832,32943,32800
26550,32756,32568,32865
26600,33328,32646,32890
26650,33068,32676,32932
26700,34164,32789,32709
26750,32860,32800,32892
26800,32816,32740,32647
26850,32848,32902,32924
26900,32904,32850,32818
26950,32784,32824,32903
27000,32780,32766,32572
27050,32904,32894,32886
27100,32812,32704,32892
27150,32856,32583,33056
27200,32788,32808,32928
27250,32792,32782,32736
27300,32808,32861,32916
27350,32840,32855,32684
27400,32800,32941,32668
27450,32794,32840,32740
